"Reference #",Beneficiary,"Household ID",Program,Date,Amount,Status
D-20250301-0001,"Carmen G. Domingo",HH-202503-0002,"COVID-19 Financial Assistance","Mar 02, 2025","₱5,000.00",Distributed
D-20250301-0002,"Carmen G. Domingo",HH-202503-0002,"Educational Assistance","Mar 01, 2025","₱3,000.00",Distributed
D-20250302-0001,"Elena Padilla Jr.",HH-202503-0150,"COVID-19 Financial Assistance","Mar 02, 2025","₱5,000.00",Distributed
D-20250302-0002,"Elena Padilla Jr.",HH-202503-0150,"COVID-19 Financial Assistance","Mar 02, 2025","₱5,000.00",Distributed
D-20250302-0003,"Elena Padilla Jr.",HH-202503-0150,"COVID-19 Financial Assistance","Mar 02, 2025","₱5,000.00",Distributed
D-20250305-0001,"Carlos F. Garcia",HH-202503-0051,"COVID-19 Financial Assistance","Mar 05, 2025","₱5,000.00",Distributed
D-20250305-0002,"Ana Marquez",HH-202503-0076,"COVID-19 Financial Assistance","Mar 05, 2025","₱5,000.00",Distributed
D-20250305-0003,"Rafael Reyes",HH-202503-0076,"COVID-19 Financial Assistance","Mar 05, 2025","₱5,000.00",Distributed
D-20250305-0004,"Juan Pascual",HH-202503-0076,"COVID-19 Financial Assistance","Mar 05, 2025","₱5,000.00",Distributed
D-20250305-0005,"Josefina L. Perez",HH-202503-0096,"COVID-19 Financial Assistance","Mar 05, 2025","₱5,000.00",Distributed
D-20250305-0006,"Rosa P. Flores",HH-202503-0104,"COVID-19 Financial Assistance","Mar 05, 2025","₱5,000.00",Distributed
D-20250305-0007,"Luis Padilla",HH-202503-0104,"COVID-19 Financial Assistance","Mar 05, 2025","₱5,000.00",Distributed
D-20250305-0008,"Rosa Flores",HH-202503-0146,"COVID-19 Financial Assistance","Mar 05, 2025","₱5,000.00",Distributed
D-20250305-0009,"Teresa Perez",HH-202503-0006,"Pantawid Pamilyang Pilipino Program","Mar 05, 2025","₱3,000.00",Distributed
D-20250305-0010,"Luisa G. Marquez",HH-202503-0079,"Pantawid Pamilyang Pilipino Program","Mar 05, 2025","₱3,000.00",Distributed
