FIRSTNAME,"MIDDLE NAME","LAST NAME",ID,BIRTHDAY,ADDRESS,SIGNATURE,"DATE ISSUE",SEX,STATUS,BIRTHPLACE,EMERGENCY,OCCUPATION,ELIGIBILITY,IDNO,QRCODE
ANTONIO,,REYES,R-202503-0001,"OCT. 24, 2005","HOUSE #984 STREET 44, APANAY, ALICIA, ISABELA, 7825",NO,,MALE,SINGLE,,,FACTORY_WORKER,4PS,,QR-R-001B52F507
RAFAEL,,CASTRO,R-202503-0002,"SEP. 8, 1987","HOUSE #984 STREET 44, APANAY, ALICIA, ISABELA, 7825",NO,,MALE,MARRIED,,,PRIVATE_EMPLOYEE,,8872790908A7,QR-R-B7B5DF0155
SOFIA,SANTOS,MORALES,R-202503-0003,"APR. 2, 2024","HOUSE #984 STREET 44, APANAY, ALICIA, ISABELA, 7825",NO,,FEMALE,SINGLE,,,STUDENT,,,QR-R-DD08880291
CARMEN,GARCIA,DOMINGO,R-202503-0004,"JUL. 12, 2006","HOUSE #115 STREET 39, RIZAL, ALICIA, ISABELA, 8948",NO,,MALE,SINGLE,,,STUDENT,,,QR-R-AE016F46CE
JUAN,MENDOZA,SALAZAR,R-202503-0005,"MAR. 26, 1992","HOUSE #115 STREET 39, RIZAL, ALICIA, ISABELA, 8948",NO,,FEMALE,SINGLE,,,FARMER,,,QR-R-120899C8A0
MARIA,REYES,ESPIRITU,R-202503-0006,"JUN. 19, 1973","HOUSE #115 STREET 39, RIZAL, ALICIA, ISABELA, 8948",NO,,FEMALE,MARRIED,,,FARMER,,,QR-R-7CEEA2E1BA
LUISA,RODRIGUEZ,HERNANDEZ,R-202503-0007,"APR. 28, 1987","HOUSE #115 STREET 39, RIZAL, ALICIA, ISABELA, 8948",NO,,FEMALE,MARRIED,,,PRIVATE_EMPLOYEE,PWD,05FCB41CFCFB,QR-R-07065BF32C
ELENA,,RAMOS,R-202503-0008,"FEB. 4, 1959","HOUSE #115 STREET 39, RIZAL, ALICIA, ISABELA, 8948",NO,,MALE,MARRIED,,,RETIRED,"SENIOR CITIZEN",,QR-R-4EE8724826
CARLOS,PEREZ,NAVARRO,R-202503-0009,"MAR. 23, 1974","HOUSE #115 STREET 39, RIZAL, ALICIA, ISABELA, 8948",NO,,FEMALE,MARRIED,,,GOVERNMENT_EMPLOYEE,,,QR-R-CAF580A39E
LUIS,,VILLANUEVA,R-202503-0010,"DEC. 28, 2009","HOUSE #969 STREET 4, SALVACION, ALICIA, ISABELA, 3200",NO,,FEMALE,SINGLE,,,LABORER,,,QR-R-EB18941612
LUISA,,"DELA PEñA",R-202503-0011,"APR. 12, 1950","HOUSE #969 STREET 4, SALVACION, ALICIA, ISABELA, 3200",NO,,MALE,MARRIED,,,RETIRED,"SENIOR CITIZEN",,QR-R-832665F750
MIGUEL,RIVERA,AQUINO,R-202503-0012,"JAN. 22, 2010","HOUSE #969 STREET 4, SALVACION, ALICIA, ISABELA, 3200",NO,,MALE,SINGLE,,,STUDENT,,,QR-R-68D08BB19B
